person_id,name,height,address
100000,Rafael Cruz Paschoalino,188,"Avenida Heitor Penteado, 237 - Taquaral"
100001,Thiago Silva Bellini,201,"Avenida Albino José Barbosa de Oliveira, 3327 - Barão Geraldo"
100002,Gabriel Almeida Cruz,178,"Avenida Heitor Penteado, 2389 - Taquaral"
100003,Yasmin Matos Vieira,164,"Avenida Heitor Penteado, 299 - Taquaral"
100004,Victor Gomes Medeiros,192,"Avenida Albino José Barbosa de Oliveira, 1733 - Barão Geraldo"
100005,André Vieira Santana,157,"Avenida Heitor Penteado, 1295 - Taquaral"
100006,Gabriel Queiroz Campos,170,"Rua Maria Monteiro, 1125 - Cambuí"
100007,André Matos Santana,188,"Avenida Albino José Barbosa de Oliveira, 3462 - Barão Geraldo"
100008,Larissa Ribeiro Matos,168,"Avenida Heitor Penteado, 1905 - Taquaral"
100009,Maria Bellini Ferreira,172,"Avenida Albino José Barbosa de Oliveira, 1454 - Barão Geraldo"
100010,Victor Silva Paschoalino,160,"Avenida Albino José Barbosa de Oliveira, 1322 - Barão Geraldo"
100011,Erik Gomes Fernandes,160,"Avenida Heitor Penteado, 2294 - Taquaral"
100012,Giovanna Almeida Santana,173,"Avenida Albino José Barbosa de Oliveira, 1523 - Barão Geraldo"
100013,Henrique Cruz Vieira,202,"Avenida Albino José Barbosa de Oliveira, 696 - Barão Geraldo"
100014,Livia Cruz Alves,185,"Avenida Heitor Penteado, 2080 - Taquaral"
100015,João Campos Silva,189,"Avenida Heitor Penteado, 1693 - Taquaral"
100016,Beatriz Ferreira Matos,173,"Rua Maria Monteiro, 328 - Cambuí"
100017,Daniel Martins Vieira,152,"Rua Coronel Quirino, 916 - Cambuí"
100018,Sofia Nascimento Ribeiro,171,"Rua Maria Monteiro, 497 - Cambuí"
100019,Vinícius Alves Melo,202,"Avenida Albino José Barbosa de Oliveira, 2800 - Barão Geraldo"
100020,Felipe Vieira Medeiros,151,"Rua Maria Monteiro, 244 - Cambuí"
100021,Yasmin Bellini Nascimento,173,"Avenida Albino José Barbosa de Oliveira, 2598 - Barão Geraldo"
100022,Clara Bellini Cruz,193,"Avenida Heitor Penteado, 2251 - Taquaral"
100023,Livia Silva Ferreira,179,"Avenida Albino José Barbosa de Oliveira, 643 - Barão Geraldo"
100024,Rafael Alves Oliveira,187,"Avenida Albino José Barbosa de Oliveira, 3480 - Barão Geraldo"
100025,João Alves Santana,151,"Avenida Albino José Barbosa de Oliveira, 2102 - Barão Geraldo"
100026,Yasmin Silva Ribeiro,170,"Rua Maria Monteiro, 1338 - Cambuí"
100027,Clara Campos Ribeiro,182,"Avenida Heitor Penteado, 1655 - Taquaral"
100028,Erik Matos Bellini,161,"Avenida Heitor Penteado, 495 - Taquaral"
100029,Erik Ferreira Martins,171,"Rua Coronel Quirino, 1300 - Cambuí"
100030,Giovanna Ribeiro Matos,193,"Rua Maria Monteiro, 995 - Cambuí"
100031,Gabriel Fernandes Medeiros,174,"Rua Maria Monteiro, 803 - Cambuí"
